fullVisitorID,channelgrouping,date,OS,Apparel,Office,Electronics,LimitedSupply,Accessories,ShopByBrand,Bags,totalSpent_USD
2886674552607729793,Referral,20160901,Linux,0,0,1,0,0,0,0,5.59
876940283010756174,Referral,20160901,Macintosh,1,0,0,0,0,0,0,33.99
1957458976293878100,Organic Search,20160901,Windows,0,0,2,0,0,0,0,329.47
3044311821343900129,Organic Search,20160901,Macintosh,0,0,0,0,0,0,0,1.99
3890747985732303742,Organic Search,20160901,Macintosh,1,0,0,0,0,0,0,51.99
0573144791339468864,Organic Search,20160901,Macintosh,0,0,0,0,0,0,3,299.97
4560048854801219223,Referral,20160901,Linux,0,0,0,0,0,0,4,339.96
8007300615127214527,Organic Search,20160901,Macintosh,5,0,0,0,0,0,0,139.95
8241779206923591819,Organic Search,20160901,Windows,0,0,4,0,0,0,0,159.96
5871221277781544012,Organic Search,20160901,Macintosh,4,0,0,0,0,0,0,71.96
7970701992007145468,Referral,20160901,Macintosh,2,0,0,0,0,0,0,39.98
7595138244735900874,Organic Search,20160901,Chrome OS,0,0,1,0,0,0,0,104.99
3355762679172766727,Organic Search,20160901,Windows,2,0,0,0,0,0,0,50.97
2298688680834096121,Referral,20160901,Macintosh,0,0,0,0,0,0,2,199.98
7391426546655677391,Paid Search,20160901,Chrome OS,4,0,0,0,0,0,0,67.96
2498891281074623695,Referral,20160901,Macintosh,0,0,0,0,0,0,5,311.95
3638718908458544,Referral,20160901,Windows,0,3,0,0,0,0,0,36.76
5516398052919154454,Direct,20160901,Chrome OS,2,6,0,0,0,0,0,139.91
4065260481464418908,Direct,20160901,Macintosh,12,0,0,0,0,0,0,180.68
0563963070031405352,Direct,20160901,Windows,2,0,0,0,0,0,0,181.9
8086419700462965235,Organic Search,20161115,Windows,1,0,0,0,0,0,0,51.99
0360866396094893947,Organic Search,20161115,Linux,0,0,0,0,0,0,0,39.98
2276574138870722841,Paid Search,20161115,Android,1,0,0,0,0,0,0,55.99
7589176936776956294,Organic Search,20161115,Android,1,0,0,0,0,0,0,16.99
8638276784545087265,Referral,20161115,Linux,0,0,1,0,0,0,1,134.98
3223226204140381033,Direct,20161115,Macintosh,1,0,0,0,0,0,2,151.97
8729992007173468709,Direct,20161115,iOS,0,0,0,0,0,0,0,66.97
5966859607214849142,Referral,20161115,Linux,0,0,0,0,0,0,4,434.93
5207648532017211263,Organic Search,20161115,iOS,1,0,0,0,0,0,0,23.99
5401063610982589352,Direct,20161115,Windows,7,0,0,0,0,0,0,323.93
0069780920436052632,Direct,20161115,Macintosh,0,0,0,0,0,0,1,30.98
45411762601202035,Organic Search,20161115,Windows,0,0,0,0,0,0,0,65.96
4835082938415020542,Direct,20161115,Windows,4,2,2,0,0,0,7,337.84
0929093191627863378,Organic Search,20161223,Android,1,0,0,0,0,0,0,16.99
9893783131202756413,Organic Search,20161223,Macintosh,2,0,0,0,0,0,0,111.98
9916732638627971356,Organic Search,20161223,iOS,1,0,0,0,0,0,0,119.99
8780082897712310963,Paid Search,20161223,iOS,3,0,0,0,0,0,0,50.97
1495007874575994713,Direct,20161223,Windows,4,0,0,0,0,0,0,71.35
5743796585353969433,Organic Search,20161223,Macintosh,5,0,0,0,0,0,0,185.94
1873534787799787401,Organic Search,20161223,Windows,5,0,0,0,0,0,0,212.94
0895662371717946210,Organic Search,20161223,Windows,0,0,0,0,0,2,0,33.98
9348986503777702332,Organic Search,20160812,Macintosh,3,0,0,0,0,0,0,50.97
1178918789886798029,Referral,20160812,Chrome OS,19,0,0,0,0,0,0,585.39
4438374801919692009,Direct,20160812,Macintosh,0,0,0,1,0,0,0,99.99
861260517306070727,Direct,20160812,Linux,2,0,1,0,0,0,0,257.17
1873322343777542479,Referral,20160812,Linux,2,0,0,0,0,0,0,111.98
8396552297824106784,Organic Search,20160812,iOS,0,0,0,0,2,0,0,49.98
5397462512706641942,Paid Search,20160812,Windows,1,0,0,0,0,0,0,43.99
